Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Nacionalidad
Fortuna 1 Liga ,1,7/29/07,Away,Znicz Pruszkow,Pelikan Lowicz,0:2,CF,90',0:2,Not Applicable,Not Applicable,Polaco
Fortuna 1 Liga ,2,8/5/07,Home,Znicz Pruszkow,Kmita Zabierzów,4:0,CF,77',4:0,Not Applicable,Not Applicable,Polaco
Fortuna 1 Liga ,22,3/22/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,24',0:1,Not Applicable,Igor Lewczuk,Polaco
Fortuna 1 Liga ,22,3/22/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,56',0:3,Not Applicable,Pawel Kaczmarek,Polaco
Fortuna 1 Liga ,31,5/11/08,Home,Znicz Pruszkow,Motor Lublin,3:0,CF,35',2:0,Not Applicable,Not Applicable,Polaco
UEFA-Cup Qualifikation ,First Round,7/17/08,Away,Lech Poznan,Xäzär Länkäran,0:1,Not Applicable,76',0:1,Not Applicable,Slawomir Peszko,Polaco
Ekstraklasa ,1,8/8/08,Home,Lech Poznan,GKS Belchatow,2:3,Not Applicable,67',2:1,Not Applicable,Tomasz Bandrowski,Polaco
UEFA-Cup Qualifikation ,Second Round,8/14/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,14',2:0,Right-footed shot,Hernán Rengifo,Polaco
UEFA-Cup Qualifikation ,Second Round,8/14/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,56',3:0,Right-footed shot,Semir Stilic,Polaco
Ekstraklasa ,3,8/23/08,Home,Lech Poznan,Górnik Zabrze,3:0,Not Applicable,10',1:0,Not Applicable,Semir Stilic,Polaco
Ekstraklasa ,4,8/31/08,Away,Lech Poznan,Arka Gdynia,2:1,Not Applicable,23',0:1,Not Applicable,Hernán Rengifo,Polaco
Ekstraklasa ,5,9/14/08,Away,Lech Poznan,Wisla Kraków,1:4,Not Applicable,8',0:2,Deflected shot on goal,Semir Stilic,Polaco
Ekstraklasa ,5,9/14/08,Away,Lech Poznan,Wisla Kraków,1:4,Not Applicable,58',1:4,Right-footed shot,Dimitrije Injac,Polaco
UEFA Cup ,First Round,10/2/08,Home,Lech Poznan,Austria Vienna,4:2,CF,99',3:1,Long distance kick,Not Applicable,Polaco
Ekstraklasa ,10,10/25/08,Home,Lech Poznan,Slask Wroclaw,1:1,Not Applicable,6',1:0,Not Applicable,Semir Stilic,Polaco
Ekstraklasa ,11,10/31/08,Home,Lech Poznan,Odra Wodzislaw Slaski,3:1,Not Applicable,53',3:1,Not Applicable,Not Applicable,Polaco
Ekstraklasa ,12,11/9/08,Away,Lech Poznan,Lechia Gdansk,0:3,Not Applicable,45',0:1,Not Applicable,Semir Stilic,Polaco
Ekstraklasa ,18,3/1/09,Away,Lech Poznan,GKS Belchatow,2:3,Not Applicable,90',2:3,Left-footed shot,Hernán Rengifo,Polaco
Fortuna Polish Cup ,Quarter-Finals,3/4/09,Away,Lech Poznan,Wisla Kraków,0:1,Not Applicable,49',0:1,Right-footed shot,Semir Stilic,Polaco
Ekstraklasa ,19,3/8/09,Home,Lech Poznan,Jagiellonia Bialystok,1:0,Not Applicable,48',1:0,Left-footed shot,Tomasz Bandrowski,Polaco
Fortuna Polish Cup ,Quarter-Finals,4/8/09,Home,Lech Poznan,Wisla Kraków,2:1,Not Applicable,26',1:0,Right-footed shot,Ivan Djurdjevic,Polaco
Ekstraklasa ,25,4/26/09,Away,Lech Poznan,Legia Warszawa,1:1,Not Applicable,75',1:1,Not Applicable,Bartosz Bosacki,Polaco
Ekstraklasa ,26,5/3/09,Home,Lech Poznan,Ruch Chorzow,1:1,Not Applicable,45',1:0,Right-footed shot,Slawomir Peszko,Polaco
Ekstraklasa ,27,5/9/09,Away,Lech Poznan,Slask Wroclaw,0:2,Not Applicable,12',0:1,Right-footed shot,Jakub Wilk,Polaco
Ekstraklasa ,28,5/15/09,Home,Lech Poznan,Lechia Gdansk,1:0,Not Applicable,85',1:0,Header,Rafal Murawski,Polaco
Superpuchar ,Final,7/25/09,Away,Lech Poznan,Wisla Kraków,3:4,CF,9',0:1,Right-footed shot,Marcin Kikut,Polaco
Europa League Qualifying ,3rd round,7/30/09,Away,Lech Poznan,Fredrikstad FK,1:6,Not Applicable,51',1:4,Right-footed shot,Tomasz Bandrowski,Polaco
Europa League Qualifying ,3rd round,8/6/09,Home,Lech Poznan,Fredrikstad FK,1:2,Not Applicable,63',1:2,Header,Semir Stilic,Polaco
Ekstraklasa ,2,8/9/09,Away,Lech Poznan,Korona Kielce,0:5,Not Applicable,85',0:4,Right-footed shot,Semir Stilic,Polaco
Ekstraklasa ,2,8/9/09,Away,Lech Poznan,Korona Kielce,0:5,Not Applicable,87',0:5,Left-footed shot,Marcin Kikut,Polaco
Ekstraklasa ,5,8/30/09,Home,Lech Poznan,GKS Belchatow,2:2,Not Applicable,59',1:2,Right-footed shot,Jakub Wilk,Polaco
Ekstraklasa ,6,9/12/09,Away,Lech Poznan,Jagiellonia Bialystok,2:3,Not Applicable,27',2:1,Left-footed shot,Marcin Kikut,Polaco
Ekstraklasa ,9,10/4/09,Away,Lech Poznan,Arka Gdynia,1:1,Not Applicable,76',1:1,Header,Slawomir Peszko,Polaco
Ekstraklasa ,10,10/18/09,Home,Lech Poznan,Wisla Kraków,1:0,Not Applicable,60',1:0,Right-footed shot,Semir Stilic,Polaco
Ekstraklasa ,13,11/7/09,Away,Lech Poznan,Polonia Bytom,1:1,Not Applicable,63',0:1,Right-footed shot,Jakub Wilk,Polaco
Ekstraklasa ,14,11/21/09,Home,Lech Poznan,Ruch Chorzow,3:1,Not Applicable,12',1:0,Not Applicable,Slawomir Peszko,Polaco
Ekstraklasa ,14,11/21/09,Home,Lech Poznan,Ruch Chorzow,3:1,Not Applicable,44',2:0,Right-footed shot,Tomasz Mikolajczak,Polaco
Ekstraklasa ,18,2/28/10,Away,Lech Poznan,Polonia Warsaw,0:3,Not Applicable,25',0:1,Right-footed shot,Slawomir Peszko,Polaco
Ekstraklasa ,18,2/28/10,Away,Lech Poznan,Polonia Warsaw,0:3,Not Applicable,72',0:2,Right-footed shot,Semir Stilic,Polaco
Ekstraklasa ,19,3/6/10,Home,Lech Poznan,Cracovia,3:1,Not Applicable,37',2:1,Tap-in,Slawomir Peszko,Polaco
Ekstraklasa ,21,3/21/10,Home,Lech Poznan,Jagiellonia Bialystok,2:0,Not Applicable,27',1:0,Header,Dimitrije Injac,Polaco
Ekstraklasa ,27,5/2/10,Away,Lech Poznan,Slask Wroclaw,0:3,Not Applicable,23',0:1,Header,Sergey Krivets,Polaco
Ekstraklasa ,27,5/2/10,Away,Lech Poznan,Slask Wroclaw,0:3,Not Applicable,57',0:3,Left-footed shot,Slawomir Peszko,Polaco
Ekstraklasa ,28,5/8/10,Home,Lech Poznan,Polonia Bytom,3:0,Not Applicable,34',3:0,Left-footed shot,Slawomir Peszko,Polaco
Ekstraklasa ,29,5/11/10,Away,Lech Poznan,Ruch Chorzow,1:2,Not Applicable,69',1:1,Left-footed shot,Grzegorz Wojtkowiak,Polaco
Ekstraklasa ,30,5/15/10,Home,Lech Poznan,Zaglebie Lubin,2:0,Not Applicable,58',2:0,Right-footed shot,Sergey Krivets,Polaco
Bundesliga ,4,9/19/10,Away,Borussia Dortmund,FC Schalke 04,1:3,CF,86',0:3,Header,Nuri Sahin,Polaco
Bundesliga ,5,9/22/10,Home,Borussia Dortmund,1.FC Kaiserslautern,5:0,Not Applicable,75',4:0,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,11,11/7/10,Away,Borussia Dortmund,Hannover 96,0:4,Not Applicable,81',0:3,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,13,11/20/10,Away,Borussia Dortmund,SC Freiburg,1:2,SS,75',1:1,Header,Marcel Schmelzer,Polaco
Europa League ,group stage,12/2/10,Home,Borussia Dortmund,Karpaty Lviv (-2021),3:0,CF,89',3:0,Left-footed shot,Nuri Sahin,Polaco
Bundesliga ,15,12/5/10,Away,Borussia Dortmund,1.FC Nuremberg,0:2,CF,88',0:2,Left-footed shot,Not Applicable,Polaco
Bundesliga ,25,3/4/11,Home,Borussia Dortmund,1. FC Köln,1:0,SS,44',1:0,Left-footed shot,Mario Götze,Polaco
Bundesliga ,30,4/17/11,Home,Borussia Dortmund,SC Freiburg,3:0,CF,43',2:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,32,4/30/11,Home,Borussia Dortmund,1.FC Nuremberg,2:0,SS,43',2:0,Right-footed shot,Mats Hummels,Polaco
DFB-Pokal ,First Round,7/30/11,Away,Borussia Dortmund,SV Sandhausen,0:3,CF,10',0:1,Right-footed shot,Shinji Kagawa,Polaco
DFB-Pokal ,First Round,7/30/11,Away,Borussia Dortmund,SV Sandhausen,0:3,CF,90',0:3,Tap-in,Ivan Perisic,Polaco
Bundesliga ,3,8/20/11,Home,Borussia Dortmund,1.FC Nuremberg,2:0,CF,50',1:0,Right-footed shot,Mario Götze,Polaco
Bundesliga ,5,9/10/11,Home,Borussia Dortmund,Hertha BSC,1:2,CF,88',1:2,Header,Antônio da Silva,Polaco
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,30',1:0,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,44',2:0,Right-footed shot,Sven Bender,Polaco
Bundesliga ,8,10/1/11,Home,Borussia Dortmund,FC Augsburg,4:0,CF,78',4:0,Header,Mario Götze,Polaco
Champions League ,Group Stage,10/19/11,Away,Borussia Dortmund,Olympiacos Piraeus,3:1,CF,26',1:1,Right-footed shot,Mario Götze,Polaco
Bundesliga ,10,10/22/11,Home,Borussia Dortmund,1. FC Köln,5:0,CF,44',3:0,Right-footed shot,Sven Bender,Polaco
Bundesliga ,10,10/22/11,Home,Borussia Dortmund,1. FC Köln,5:0,CF,50',4:0,Right-footed shot,Kevin Großkreutz,Polaco
DFB-Pokal ,Second Round,10/25/11,Home,Borussia Dortmund,SG Dynamo Dresden,2:0,CF,30',1:0,Header,Mario Götze,Polaco
Bundesliga ,12,11/5/11,Home,Borussia Dortmund,VfL Wolfsburg,5:1,CF,66',4:1,Right-footed shot,Shinji Kagawa,Polaco
Bundesliga ,14,11/26/11,Home,Borussia Dortmund,FC Schalke 04,2:0,SS,16',1:0,Header,Marcel Schmelzer,Polaco
Bundesliga ,15,12/3/11,Away,Borussia Dortmund,Borussia Mönchengladbach,1:1,CF,40',0:1,Header,Mario Götze,Polaco
Bundesliga ,17,12/17/11,Away,Borussia Dortmund,SC Freiburg,1:4,CF,7',0:1,Right-footed shot,Shinji Kagawa,Polaco
Bundesliga ,17,12/17/11,Away,Borussia Dortmund,SC Freiburg,1:4,CF,70',1:4,Left-footed shot,Kevin Großkreutz,Polaco
Bundesliga ,18,1/22/12,Away,Borussia Dortmund,Hamburger SV,1:5,CF,37',0:2,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,18,1/22/12,Away,Borussia Dortmund,Hamburger SV,1:5,CF,83',0:5,Right-footed shot,Kevin Großkreutz,Polaco
DFB-Pokal ,Quarter-Finals,2/7/12,Away,Borussia Dortmund,Holstein Kiel,0:4,CF,11',0:1,Right-footed shot,Ivan Perisic,Polaco
Bundesliga ,23,2/26/12,Home,Borussia Dortmund,Hannover 96,3:1,CF,27',1:0,Right-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,23,2/26/12,Home,Borussia Dortmund,Hannover 96,3:1,CF,54',2:0,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,27,3/25/12,Away,Borussia Dortmund,1. FC Köln,1:6,CF,52',1:3,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,29,4/7/12,Away,Borussia Dortmund,VfL Wolfsburg,1:3,CF,22',0:1,Right-footed shot,Ivan Perisic,Polaco
Bundesliga ,29,4/7/12,Away,Borussia Dortmund,VfL Wolfsburg,1:3,CF,90',1:3,Right-footed shot,Moritz Leitner,Polaco
Bundesliga ,30,4/11/12,Home,Borussia Dortmund,Bayern Munich,1:0,CF,77',1:0,Deflected shot on goal,Kevin Großkreutz,Polaco
Bundesliga ,34,5/5/12,Home,Borussia Dortmund,SC Freiburg,4:0,CF,20',2:0,Left-footed shot,Neven Subotic,Polaco
Bundesliga ,34,5/5/12,Home,Borussia Dortmund,SC Freiburg,4:0,CF,27',3:0,Tap-in,Lukasz Piszczek,Polaco
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,45'+1,3:1,Right-footed shot,Shinji Kagawa,Polaco
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,58',4:1,Right-footed shot,Kevin Großkreutz,Polaco
DFB-Pokal ,Final,5/12/12,Home,Borussia Dortmund,Bayern Munich,5:2,CF,81',5:2,Header,Lukasz Piszczek,Polaco
DFL-Supercup ,Final,8/12/12,Away,Borussia Dortmund,Bayern Munich,2:1,CF,75',2:1,Right-footed shot,Julian Schieber,Polaco
Bundesliga ,3,9/15/12,Home,Borussia Dortmund,Bayer 04 Leverkusen,3:0,CF,78',3:0,Header,Marco Reus,Polaco
Champions League ,Group Stage,9/18/12,Home,Borussia Dortmund,Ajax Amsterdam,1:0,CF,87',1:0,Right-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,7,10/7/12,Away,Borussia Dortmund,Hannover 96,1:1,CF,26',0:1,Right-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,8,10/20/12,Home,Borussia Dortmund,FC Schalke 04,1:2,CF,55',1:2,Header,Marco Reus,Polaco
Champions League ,Group Stage,10/24/12,Home,Borussia Dortmund,Real Madrid,2:1,CF,36',1:0,Right-footed shot,Sebastian Kehl,Polaco
Bundesliga ,11,11/10/12,Away,Borussia Dortmund,FC Augsburg,1:3,CF,51',0:2,Left-footed shot,Mario Götze,Polaco
Bundesliga ,11,11/10/12,Away,Borussia Dortmund,FC Augsburg,1:3,CF,70',0:3,Left-footed shot,Marco Reus,Polaco
Bundesliga ,12,11/17/12,Home,Borussia Dortmund,SpVgg Greuther Fürth,3:1,CF,3',1:0,Left-footed shot,Mario Götze,Polaco
Bundesliga ,12,11/17/12,Home,Borussia Dortmund,SpVgg Greuther Fürth,3:1,CF,15',2:1,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,11/21/12,Away,Borussia Dortmund,Ajax Amsterdam,1:4,CF,41',0:3,Right-footed shot,Mario Götze,Polaco
Champions League ,Group Stage,11/21/12,Away,Borussia Dortmund,Ajax Amsterdam,1:4,CF,67',0:4,Right-footed shot,Mario Götze,Polaco
Bundesliga ,13,11/24/12,Away,Borussia Dortmund,1.FSV Mainz 05,1:2,CF,12',1:1,Right-footed shot,Marco Reus,Polaco
Bundesliga ,13,11/24/12,Away,Borussia Dortmund,1.FSV Mainz 05,1:2,CF,43',1:2,Right-footed shot,Mario Götze,Polaco
Bundesliga ,17,12/16/12,Away,Borussia Dortmund,TSG 1899 Hoffenheim,1:3,CF,66',1:3,Left-footed shot,Ilkay Gündogan,Polaco
DFB-Pokal ,Round of 16,12/19/12,Home,Borussia Dortmund,Hannover 96,5:1,CF,90',5:1,Right-footed shot,Leonardo Bittencourt,Polaco
Bundesliga ,18,1/19/13,Away,Borussia Dortmund,SV Werder Bremen,0:5,CF,81',0:4,Left-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,19,1/25/13,Home,Borussia Dortmund,1.FC Nuremberg,3:0,CF,88',3:0,Right-footed shot,Marco Reus,Polaco
Bundesliga ,20,2/3/13,Away,Borussia Dortmund,Bayer 04 Leverkusen,2:3,CF,63',2:3,Right-footed shot,Mario Götze,Polaco
Bundesliga ,21,2/9/13,Home,Borussia Dortmund,Hamburger SV,1:4,CF,17',1:0,Right-footed shot,Mats Hummels,Polaco
Champions League ,last 16,2/13/13,Away,Borussia Dortmund,Shakhtar Donetsk,2:2,CF,41',1:1,Right-footed shot,Mario Götze,Polaco
Bundesliga ,24,3/2/13,Home,Borussia Dortmund,Hannover 96,3:1,CF,8',1:0,Right-footed shot,Kevin Großkreutz,Polaco
Bundesliga ,24,3/2/13,Home,Borussia Dortmund,Hannover 96,3:1,CF,21',2:0,Tap-in,Kevin Großkreutz,Polaco
Bundesliga ,25,3/9/13,Away,Borussia Dortmund,FC Schalke 04,2:1,CF,59',2:1,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,26,3/16/13,Home,Borussia Dortmund,SC Freiburg,5:1,CF,41',1:1,Header,Nuri Sahin,Polaco
Bundesliga ,26,3/16/13,Home,Borussia Dortmund,SC Freiburg,5:1,CF,45'+1,3:1,Left-footed shot,Not Applicable,Polaco
Bundesliga ,27,3/30/13,Away,Borussia Dortmund,VfB Stuttgart,1:2,CF,82',1:2,Right-footed shot,Lukasz Piszczek,Polaco
Bundesliga ,28,4/6/13,Home,Borussia Dortmund,FC Augsburg,4:2,SS,90'+2,4:2,Right-footed shot,Mario Götze,Polaco
Champions League ,Quarter-Finals,4/9/13,Home,Borussia Dortmund,Málaga CF,3:2,CF,40',1:1,Right-footed shot,Marco Reus,Polaco
Bundesliga ,29,4/13/13,Away,Borussia Dortmund,SpVgg Greuther Fürth,1:6,CF,80',1:6,Left-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,30,4/20/13,Home,Borussia Dortmund,1.FSV Mainz 05,2:0,CF,87',2:0,Right-footed shot,Lukasz Piszczek,Polaco
Champions League ,Semi-Finals,4/24/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,8',1:0,Right-footed shot,Mario Götze,Polaco
Champions League ,Semi-Finals,4/24/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,50',2:1,Right-footed shot,Marco Reus,Polaco
Champions League ,Semi-Finals,4/24/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,55',3:1,Right-footed shot,Marcel Schmelzer,Polaco
Champions League ,Semi-Finals,4/24/13,Home,Borussia Dortmund,Real Madrid,4:1,CF,67',4:1,Penalty,Not Applicable,Polaco
Bundesliga ,34,5/18/13,Home,Borussia Dortmund,TSG 1899 Hoffenheim,1:2,CF,6',1:0,Tap-in,Jakub Blaszczykowski,Polaco
DFB-Pokal ,First Round,8/3/13,Away,Borussia Dortmund,SV Wilhelmshaven,0:3,CF,90',0:3,Right-footed shot,Jonas Hofmann,Polaco
Bundesliga ,1,8/10/13,Away,Borussia Dortmund,FC Augsburg,0:4,CF,86',0:4,Penalty,Not Applicable,Polaco
Bundesliga ,3,8/23/13,Home,Borussia Dortmund,SV Werder Bremen,1:0,CF,55',1:0,Right-footed shot,Marco Reus,Polaco
Bundesliga ,5,9/14/13,Home,Borussia Dortmund,Hamburger SV,6:2,CF,73',4:2,Right-footed shot,Pierre-Emerick Aubameyang,Polaco
Bundesliga ,5,9/14/13,Home,Borussia Dortmund,Hamburger SV,6:2,CF,81',6:2,Header,Nuri Sahin,Polaco
Bundesliga ,7,9/28/13,Home,Borussia Dortmund,SC Freiburg,5:0,CF,58',3:0,Right-footed shot,Marco Reus,Polaco
Bundesliga ,7,9/28/13,Home,Borussia Dortmund,SC Freiburg,5:0,CF,70',4:0,Left-footed shot,Jonas Hofmann,Polaco
Champions League ,Group Stage,10/1/13,Home,Borussia Dortmund,Olympique Marseille,3:0,CF,19',1:0,Left-footed shot,Erik Durm,Polaco
Champions League ,Group Stage,10/1/13,Home,Borussia Dortmund,Olympique Marseille,3:0,CF,80',3:0,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,10/22/13,Away,Borussia Dortmund,Arsenal FC,1:2,CF,82',1:2,Right-footed shot,Kevin Großkreutz,Polaco
Bundesliga ,11,11/1/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,54',3:1,Right-footed shot,Marco Reus,Polaco
Bundesliga ,11,11/1/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,56',4:1,Left-footed shot,Henrikh Mkhitaryan,Polaco
Bundesliga ,11,11/1/13,Home,Borussia Dortmund,VfB Stuttgart,6:1,CF,72',5:1,Right-footed shot,Jakub Blaszczykowski,Polaco
Bundesliga ,14,11/30/13,Away,Borussia Dortmund,1.FSV Mainz 05,1:3,CF,78',1:2,Penalty,Not Applicable,Polaco
Bundesliga ,14,11/30/13,Away,Borussia Dortmund,1.FSV Mainz 05,1:3,CF,90'+4,1:3,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,12/11/13,Away,Borussia Dortmund,Olympique Marseille,1:2,CF,4',0:1,Left-footed shot,Erik Durm,Polaco
Bundesliga ,20,2/8/14,Away,Borussia Dortmund,SV Werder Bremen,1:5,CF,26',0:1,Right-footed shot,Marcel Schmelzer,Polaco
Bundesliga ,20,2/8/14,Away,Borussia Dortmund,SV Werder Bremen,1:5,CF,85',0:5,Right-footed shot,Jonas Hofmann,Polaco
Bundesliga ,21,2/15/14,Home,Borussia Dortmund,Eintracht Frankfurt,4:0,CF,47',3:0,Penalty,Not Applicable,Polaco
Champions League ,last 16,2/25/14,Away,Borussia Dortmund,Zenit St. Petersburg,2:4,CF,61',1:3,Right-footed shot,Lukasz Piszczek,Polaco
Champions League ,last 16,2/25/14,Away,Borussia Dortmund,Zenit St. Petersburg,2:4,CF,71',2:4,Right-footed shot,Marco Reus,Polaco
Bundesliga ,23,3/1/14,Home,Borussia Dortmund,1.FC Nuremberg,3:0,CF,64',2:0,Right-footed shot,Henrikh Mkhitaryan,Polaco
Bundesliga ,26,3/22/14,Away,Borussia Dortmund,Hannover 96,0:3,CF,52',0:2,Right-footed shot,Henrikh Mkhitaryan,Polaco
Bundesliga ,29,4/5/14,Home,Borussia Dortmund,VfL Wolfsburg,2:1,CF,51',1:1,Header,Marco Reus,Polaco
DFB-Pokal ,Semi-Finals,4/15/14,Home,Borussia Dortmund,VfL Wolfsburg,2:0,CF,43',2:0,Left-footed shot,Marco Reus,Polaco
Bundesliga ,31,4/19/14,Home,Borussia Dortmund,1.FSV Mainz 05,4:2,CF,18',2:1,Right-footed shot,Henrikh Mkhitaryan,Polaco
Bundesliga ,34,5/10/14,Away,Borussia Dortmund,Hertha BSC,0:4,CF,41',0:1,Right-footed shot,Mats Hummels,Polaco
Bundesliga ,34,5/10/14,Away,Borussia Dortmund,Hertha BSC,0:4,CF,80',0:3,Direct free kick,Not Applicable,Polaco
Bundesliga ,2,8/30/14,Away,Bayern Munich,FC Schalke 04,1:1,CF,10',0:1,Right-footed shot,Sebastian Rode,Polaco
Bundesliga ,5,9/23/14,Home,Bayern Munich,SC Paderborn 07,4:0,CF,14',2:0,Right-footed shot,Philipp Lahm,Polaco
Bundesliga ,7,10/4/14,Home,Bayern Munich,Hannover 96,4:0,CF,6',1:0,Right-footed shot,Rafinha,Polaco
Bundesliga ,7,10/4/14,Home,Bayern Munich,Hannover 96,4:0,CF,38',3:0,Right-footed shot,Xherdan Shaqiri,Polaco
Champions League ,Group Stage,10/21/14,Away,Bayern Munich,AS Roma,1:7,CF,25',0:3,Header,Juan Bernat,Polaco
DFB-Pokal ,Second Round,10/29/14,Away,Bayern Munich,Hamburger SV,1:3,CF,7',0:1,Right-footed shot,Not Applicable,Polaco
Bundesliga ,10,11/1/14,Home,Bayern Munich,Borussia Dortmund,2:1,CF,72',1:1,Left-footed shot,Not Applicable,Polaco
Bundesliga ,12,11/22/14,Home,Bayern Munich,TSG 1899 Hoffenheim,4:0,CF,39',2:0,Header,Arjen Robben,Polaco
Champions League ,Group Stage,11/25/14,Away,Bayern Munich,Manchester City,3:2,CF,45',1:2,Header,Jérôme Boateng,Polaco
Bundesliga ,15,12/13/14,Away,Bayern Munich,FC Augsburg,0:4,CF,68',0:3,Right-footed shot,Bastian Schweinsteiger,Polaco
Bundesliga ,21,2/14/15,Home,Bayern Munich,Hamburger SV,8:0,LW,56',6:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,22,2/21/15,Away,Bayern Munich,SC Paderborn 07,0:6,CF,24',0:1,Right-footed shot,Arjen Robben,Polaco
Bundesliga ,22,2/21/15,Away,Bayern Munich,SC Paderborn 07,0:6,CF,37',0:2,Right-footed shot,Franck Ribéry,Polaco
Bundesliga ,23,2/27/15,Home,Bayern Munich,1. FC Köln,4:1,CF,75',4:1,Chest,Arjen Robben,Polaco
Champions League ,last 16,3/11/15,Home,Bayern Munich,Shakhtar Donetsk,7:0,CF,75',6:0,Right-footed shot,Bastian Schweinsteiger,Polaco
Bundesliga ,25,3/14/15,Away,Bayern Munich,SV Werder Bremen,0:4,CF,76',0:3,Header,Thomas Müller,Polaco
Bundesliga ,25,3/14/15,Away,Bayern Munich,SV Werder Bremen,0:4,CF,90'+1,0:4,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,27,4/4/15,Away,Bayern Munich,Borussia Dortmund,0:1,CF,36',0:1,Header,Thomas Müller,Polaco
Bundesliga ,28,4/11/15,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,15',1:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,28,4/11/15,Home,Bayern Munich,Eintracht Frankfurt,3:0,CF,66',2:0,Header,Mario Götze,Polaco
Champions League ,Quarter-Finals,4/21/15,Home,Bayern Munich,FC Porto,6:1,CF,27',3:0,Header,Thomas Müller,Polaco
Champions League ,Quarter-Finals,4/21/15,Home,Bayern Munich,FC Porto,6:1,CF,40',5:0,Right-footed shot,Thomas Müller,Polaco
DFB-Pokal ,Semi-Finals,4/28/15,Home,Bayern Munich,Borussia Dortmund,1:3,CF,29',1:0,Right-footed shot,Medhi Benatia,Polaco
Champions League ,Semi-Finals,5/12/15,Home,Bayern Munich,FC Barcelona,3:2,CF,59',2:2,Right-footed shot,Bastian Schweinsteiger,Polaco
Bundesliga ,34,5/23/15,Home,Bayern Munich,1.FSV Mainz 05,2:0,CF,25',1:0,Penalty,Not Applicable,Polaco
