Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Nacionalidad
Bundesliga ,10,11/2/19,Away,Bayern Munich,Eintracht Frankfurt,5:1,CF,37',2:1,Right-footed shot,Alphonso Davies,Polaco
Champions League ,Group Stage,11/6/19,Home,Bayern Munich,Olympiacos Piraeus,2:0,CF,69',1:0,Right-footed shot,Kingsley Coman,Polaco
Bundesliga ,11,11/9/19,Home,Bayern Munich,Borussia Dortmund,4:0,CF,17',1:0,Header,Benjamin Pavard,Polaco
Bundesliga ,11,11/9/19,Home,Bayern Munich,Borussia Dortmund,4:0,CF,76',3:0,Right-footed shot,Thomas Müller,Polaco
Champions League ,Group Stage,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,53',0:2,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,60',0:3,Tap-in,Corentin Tolisso,Polaco
Champions League ,Group Stage,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,64',0:4,Header,Benjamin Pavard,Polaco
Champions League ,Group Stage,11/26/19,Away,Bayern Munich,Red Star Belgrade,0:6,CF,67',0:5,Right-footed shot,Ivan Perisic,Polaco
Bundesliga ,15,12/14/19,Home,Bayern Munich,SV Werder Bremen,6:1,CF,45'+4,2:1,Left-footed shot,Philippe Coutinho,Polaco
Bundesliga ,15,12/14/19,Home,Bayern Munich,SV Werder Bremen,6:1,CF,72',4:1,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,16,12/18/19,Away,Bayern Munich,SC Freiburg,1:3,CF,16',0:1,Right-footed shot,Alphonso Davies,Polaco
Bundesliga ,18,1/19/20,Away,Bayern Munich,Hertha BSC,0:4,CF,73',0:2,Penalty,Not Applicable,Polaco
Bundesliga ,19,1/25/20,Home,Bayern Munich,FC Schalke 04,5:0,CF,6',1:0,Right-footed shot,Ivan Perisic,Polaco
Bundesliga ,20,2/1/20,Away,Bayern Munich,1.FSV Mainz 05,1:3,CF,8',0:1,Header,Benjamin Pavard,Polaco
DFB-Pokal ,Round of 16,2/5/20,Home,Bayern Munich,TSG 1899 Hoffenheim,4:3,CF,36',3:1,Header,Thomas Müller,Polaco
DFB-Pokal ,Round of 16,2/5/20,Home,Bayern Munich,TSG 1899 Hoffenheim,4:3,CF,80',4:1,Header,Joshua Kimmich,Polaco
Bundesliga ,22,2/16/20,Away,Bayern Munich,1. FC Köln,1:4,CF,3',0:1,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,23,2/21/20,Home,Bayern Munich,SC Paderborn 07,3:2,CF,70',2:1,Right-footed shot,Serge Gnabry,Polaco
Bundesliga ,23,2/21/20,Home,Bayern Munich,SC Paderborn 07,3:2,CF,88',3:2,Right-footed shot,Serge Gnabry,Polaco
Champions League ,last 16,2/25/20,Away,Bayern Munich,Chelsea FC,0:3,CF,76',0:3,Right-footed shot,Alphonso Davies,Polaco
Bundesliga ,26,5/17/20,Away,Bayern Munich,1.FC Union Berlin,0:2,CF,40',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,27,5/23/20,Home,Bayern Munich,Eintracht Frankfurt,5:2,CF,46',3:0,Header,Kingsley Coman,Polaco
Bundesliga ,29,5/30/20,Home,Bayern Munich,Fortuna Düsseldorf,5:0,CF,43',3:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,29,5/30/20,Home,Bayern Munich,Fortuna Düsseldorf,5:0,CF,50',4:0,Right-footed shot,Serge Gnabry,Polaco
Bundesliga ,30,6/6/20,Away,Bayern Munich,Bayer 04 Leverkusen,2:4,CF,66',1:4,Header,Thomas Müller,Polaco
DFB-Pokal ,Semi-Finals,6/10/20,Home,Bayern Munich,Eintracht Frankfurt,2:1,CF,74',2:1,Left-footed shot,Joshua Kimmich,Polaco
Bundesliga ,32,6/16/20,Away,Bayern Munich,SV Werder Bremen,0:1,CF,43',0:1,Right-footed shot,Jérôme Boateng,Polaco
Bundesliga ,33,6/20/20,Home,Bayern Munich,SC Freiburg,3:1,CF,24',2:0,Header,Leon Goretzka,Polaco
Bundesliga ,33,6/20/20,Home,Bayern Munich,SC Freiburg,3:1,CF,37',3:1,Right-footed shot,Lucas Hernández,Polaco
Bundesliga ,34,6/27/20,Away,Bayern Munich,VfL Wolfsburg,0:4,CF,72',0:3,Penalty,Not Applicable,Polaco
DFB-Pokal ,Final,7/4/20,Away,Bayern Munich,Bayer 04 Leverkusen,2:4,CF,59',0:3,Right-footed shot,Manuel Neuer,Polaco
DFB-Pokal ,Final,7/4/20,Away,Bayern Munich,Bayer 04 Leverkusen,2:4,CF,89',1:4,Right-footed shot,Ivan Perisic,Polaco
Champions League ,last 16,8/8/20,Home,Bayern Munich,Chelsea FC,4:1,CF,10',1:0,Penalty,Not Applicable,Polaco
Champions League ,last 16,8/8/20,Home,Bayern Munich,Chelsea FC,4:1,CF,83',4:1,Header,Álvaro Odriozola,Polaco
Champions League ,Quarter-Finals,8/14/20,Away,Bayern Munich,FC Barcelona,2:8,CF,82',2:6,Header,Philippe Coutinho,Polaco
Champions League ,Semi-Finals,8/19/20,Away,Bayern Munich,Olympique Lyon,0:3,CF,88',0:3,Header,Joshua Kimmich,Polaco
Bundesliga ,1,9/18/20,Home,Bayern Munich,FC Schalke 04,8:0,CF,31',3:0,Penalty,Not Applicable,Polaco
Bundesliga ,3,10/4/20,Home,Bayern Munich,Hertha BSC,4:3,CF,40',1:0,Right-footed shot,Serge Gnabry,Polaco
Bundesliga ,3,10/4/20,Home,Bayern Munich,Hertha BSC,4:3,CF,51',2:0,Right-footed shot,Chris Richards,Polaco
Bundesliga ,3,10/4/20,Home,Bayern Munich,Hertha BSC,4:3,CF,85',3:2,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,3,10/4/20,Home,Bayern Munich,Hertha BSC,4:3,CF,90'+3,4:3,Penalty,Not Applicable,Polaco
Bundesliga ,4,10/17/20,Away,Bayern Munich,Arminia Bielefeld,1:4,CF,25',0:2,Right-footed shot,Leon Goretzka,Polaco
Bundesliga ,4,10/17/20,Away,Bayern Munich,Arminia Bielefeld,1:4,CF,45'+1,0:3,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,5,10/24/20,Home,Bayern Munich,Eintracht Frankfurt,5:0,CF,10',1:0,Left-footed shot,Kingsley Coman,Polaco
Bundesliga ,5,10/24/20,Home,Bayern Munich,Eintracht Frankfurt,5:0,CF,26',2:0,Header,Joshua Kimmich,Polaco
Bundesliga ,5,10/24/20,Home,Bayern Munich,Eintracht Frankfurt,5:0,CF,60',3:0,Right-footed shot,Douglas Costa,Polaco
Champions League ,Group Stage,11/3/20,Away,Bayern Munich,Red Bull Salzburg,2:6,CF,21',1:1,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,11/3/20,Away,Bayern Munich,Red Bull Salzburg,2:6,CF,88',2:5,Header,Javi Martínez,Polaco
Bundesliga ,7,11/7/20,Away,Bayern Munich,Borussia Dortmund,2:3,CF,48',1:2,Header,Lucas Hernández,Polaco
Champions League ,Group Stage,11/25/20,Home,Bayern Munich,Red Bull Salzburg,3:1,CF,42',1:0,Left-footed shot,Not Applicable,Polaco
Bundesliga ,9,11/28/20,Away,Bayern Munich,VfB Stuttgart,1:3,CF,45'+1,1:2,Right-footed shot,Kingsley Coman,Polaco
Bundesliga ,11,12/12/20,Away,Bayern Munich,1.FC Union Berlin,1:1,CF,67',1:1,Right-footed shot,Kingsley Coman,Polaco
Bundesliga ,12,12/16/20,Home,Bayern Munich,VfL Wolfsburg,2:1,CF,45'+1,1:1,Header,Kingsley Coman,Polaco
Bundesliga ,12,12/16/20,Home,Bayern Munich,VfL Wolfsburg,2:1,CF,50',2:1,Right-footed shot,Jérôme Boateng,Polaco
Bundesliga ,13,12/19/20,Away,Bayern Munich,Bayer 04 Leverkusen,1:2,CF,43',1:1,Header,Thomas Müller,Polaco
Bundesliga ,13,12/19/20,Away,Bayern Munich,Bayer 04 Leverkusen,1:2,CF,90'+3,1:2,Deflected shot on goal,Joshua Kimmich,Polaco
Bundesliga ,14,1/3/21,Home,Bayern Munich,1.FSV Mainz 05,5:2,CF,76',4:2,Penalty,Not Applicable,Polaco
Bundesliga ,14,1/3/21,Home,Bayern Munich,1.FSV Mainz 05,5:2,CF,83',5:2,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,15,1/8/21,Away,Bayern Munich,Borussia Mönchengladbach,3:2,CF,20',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,16,1/17/21,Home,Bayern Munich,SC Freiburg,2:1,CF,7',1:0,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,17,1/20/21,Away,Bayern Munich,FC Augsburg,0:1,CF,13',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,18,1/24/21,Away,Bayern Munich,FC Schalke 04,0:4,CF,54',0:2,Right-footed shot,Joshua Kimmich,Polaco
Bundesliga ,19,1/30/21,Home,Bayern Munich,TSG 1899 Hoffenheim,4:1,CF,57',3:1,Right-footed shot,Not Applicable,Polaco
Club World Cup ,Semi-Finals,2/8/21,Away,Bayern Munich,El Ahly Cairo,0:2,CF,17',0:1,Right-footed shot,Serge Gnabry,Polaco
Club World Cup ,Semi-Finals,2/8/21,Away,Bayern Munich,El Ahly Cairo,0:2,CF,85',0:2,Header,Leroy Sané,Polaco
Bundesliga ,21,2/15/21,Home,Bayern Munich,Arminia Bielefeld,3:3,CF,48',1:2,Right-footed shot,David Alaba,Polaco
Bundesliga ,22,2/20/21,Away,Bayern Munich,Eintracht Frankfurt,2:1,CF,53',2:1,Right-footed shot,Leroy Sané,Polaco
Champions League ,last 16,2/23/21,Away,Bayern Munich,SS Lazio,1:4,CF,9',0:1,Left-footed shot,Not Applicable,Polaco
Bundesliga ,23,2/27/21,Home,Bayern Munich,1. FC Köln,5:1,CF,33',2:0,Right-footed shot,Leon Goretzka,Polaco
Bundesliga ,23,2/27/21,Home,Bayern Munich,1. FC Köln,5:1,CF,65',3:1,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,24,3/6/21,Home,Bayern Munich,Borussia Dortmund,4:2,CF,26',1:2,Right-footed shot,Leroy Sané,Polaco
Bundesliga ,24,3/6/21,Home,Bayern Munich,Borussia Dortmund,4:2,CF,44',2:2,Penalty,Not Applicable,Polaco
Bundesliga ,24,3/6/21,Home,Bayern Munich,Borussia Dortmund,4:2,CF,90',4:2,Right-footed shot,Alphonso Davies,Polaco
Bundesliga ,25,3/13/21,Away,Bayern Munich,SV Werder Bremen,1:3,CF,67',0:3,Right-footed shot,Not Applicable,Polaco
Champions League ,last 16,3/17/21,Home,Bayern Munich,SS Lazio,2:1,CF,33',1:0,Penalty,Not Applicable,Polaco
Bundesliga ,26,3/20/21,Home,Bayern Munich,VfB Stuttgart,4:0,CF,18',1:0,Right-footed shot,Serge Gnabry,Polaco
Bundesliga ,26,3/20/21,Home,Bayern Munich,VfB Stuttgart,4:0,CF,23',3:0,Header,Thomas Müller,Polaco
Bundesliga ,26,3/20/21,Home,Bayern Munich,VfB Stuttgart,4:0,CF,39',4:0,Left-footed shot,Not Applicable,Polaco
Bundesliga ,31,4/24/21,Away,Bayern Munich,1.FSV Mainz 05,2:1,CF,90'+4,2:1,Right-footed shot,Not Applicable,Polaco
Bundesliga ,32,5/8/21,Home,Bayern Munich,Borussia Mönchengladbach,6:0,CF,2',1:0,Right-footed shot,David Alaba,Polaco
Bundesliga ,32,5/8/21,Home,Bayern Munich,Borussia Mönchengladbach,6:0,CF,34',3:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,32,5/8/21,Home,Bayern Munich,Borussia Mönchengladbach,6:0,CF,66',5:0,Penalty,Not Applicable,Polaco
Bundesliga ,33,5/15/21,Away,Bayern Munich,SC Freiburg,2:2,CF,26',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,34,5/22/21,Home,Bayern Munich,FC Augsburg,5:2,CF,90',5:2,Right-footed shot,Leroy Sané,Polaco
Bundesliga ,1,8/13/21,Away,Bayern Munich,Borussia Mönchengladbach,1:1,CF,42',1:1,Right-footed shot,Joshua Kimmich,Polaco
DFL-Supercup ,Final,8/17/21,Away,Bayern Munich,Borussia Dortmund,1:3,CF,41',0:1,Header,Serge Gnabry,Polaco
DFL-Supercup ,Final,8/17/21,Away,Bayern Munich,Borussia Dortmund,1:3,CF,74',1:3,Right-footed shot,Corentin Tolisso,Polaco
Bundesliga ,2,8/22/21,Home,Bayern Munich,1. FC Köln,3:2,CF,50',1:0,Right-footed shot,Jamal Musiala,Polaco
Bundesliga ,3,8/28/21,Home,Bayern Munich,Hertha BSC,5:0,CF,35',2:0,Header,Not Applicable,Polaco
Bundesliga ,3,8/28/21,Home,Bayern Munich,Hertha BSC,5:0,CF,70',4:0,Left-footed shot,Leroy Sané,Polaco
Bundesliga ,3,8/28/21,Home,Bayern Munich,Hertha BSC,5:0,CF,84',5:0,Header,Tanguy Nianzou,Polaco
Bundesliga ,4,9/11/21,Away,Bayern Munich,RB Leipzig,1:4,CF,12',0:1,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,9/14/21,Away,Bayern Munich,FC Barcelona,0:3,CF,56',0:2,Left-footed shot,Not Applicable,Polaco
Champions League ,Group Stage,9/14/21,Away,Bayern Munich,FC Barcelona,0:3,CF,85',0:3,Left-footed shot,Not Applicable,Polaco
Bundesliga ,5,9/18/21,Home,Bayern Munich,VfL Bochum,7:0,CF,61',5:0,Right-footed shot,Not Applicable,Polaco
Champions League ,Group Stage,9/29/21,Home,Bayern Munich,Dynamo Kyiv,5:0,CF,12',1:0,Penalty,Not Applicable,Polaco
Champions League ,Group Stage,9/29/21,Home,Bayern Munich,Dynamo Kyiv,5:0,CF,27',2:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,8,10/17/21,Away,Bayern Munich,Bayer 04 Leverkusen,1:5,CF,3',0:1,Right-footed shot,Dayot Upamecano,Polaco
Bundesliga ,8,10/17/21,Away,Bayern Munich,Bayer 04 Leverkusen,1:5,CF,30',0:2,Right-footed shot,Alphonso Davies,Polaco
Champions League ,Group Stage,10/20/21,Away,Bayern Munich,SL Benfica,0:4,CF,82',0:3,Left-footed shot,Leroy Sané,Polaco
Bundesliga ,9,10/23/21,Home,Bayern Munich,TSG 1899 Hoffenheim,4:0,CF,30',2:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,10,10/30/21,Away,Bayern Munich,1.FC Union Berlin,2:5,CF,15',0:1,Penalty,Not Applicable,Polaco
Bundesliga ,10,10/30/21,Away,Bayern Munich,1.FC Union Berlin,2:5,CF,23',0:2,Right-footed shot,Thomas Müller,Polaco
Champions League ,Group Stage,11/2/21,Home,Bayern Munich,SL Benfica,5:2,CF,26',1:0,Header,Kingsley Coman,Polaco
Champions League ,Group Stage,11/2/21,Home,Bayern Munich,SL Benfica,5:2,CF,61',4:1,Right-footed shot,Leroy Sané,Polaco
Champions League ,Group Stage,11/2/21,Home,Bayern Munich,SL Benfica,5:2,CF,84',5:2,Right-footed shot,Manuel Neuer,Polaco
Bundesliga ,11,11/6/21,Home,Bayern Munich,SC Freiburg,2:1,CF,75',2:0,Right-footed shot,Leroy Sané,Polaco
Bundesliga ,12,11/19/21,Away,Bayern Munich,FC Augsburg,2:1,CF,38',2:1,Right-footed shot,Thomas Müller,Polaco
Champions League ,Group Stage,11/23/21,Away,Bayern Munich,Dynamo Kyiv,1:2,CF,14',0:1,Right-footed shot,Not Applicable,Polaco
Bundesliga ,14,12/4/21,Away,Bayern Munich,Borussia Dortmund,2:3,CF,9',1:1,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,14,12/4/21,Away,Bayern Munich,Borussia Dortmund,2:3,CF,77',2:3,Penalty,Not Applicable,Polaco
Bundesliga ,16,12/14/21,Away,Bayern Munich,VfB Stuttgart,0:5,CF,69',0:3,Right-footed shot,Serge Gnabry,Polaco
Bundesliga ,16,12/14/21,Away,Bayern Munich,VfB Stuttgart,0:5,CF,72',0:4,Right-footed shot,Serge Gnabry,Polaco
Bundesliga ,17,12/17/21,Home,Bayern Munich,VfL Wolfsburg,4:0,CF,87',4:0,Left-footed shot,Jamal Musiala,Polaco
Bundesliga ,18,1/7/22,Home,Bayern Munich,Borussia Mönchengladbach,1:2,CF,18',1:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,19,1/15/22,Away,Bayern Munich,1. FC Köln,0:4,CF,9',0:1,Counter attack goal,Thomas Müller,Polaco
Bundesliga ,19,1/15/22,Away,Bayern Munich,1. FC Köln,0:4,CF,62',0:3,Left-footed shot,Leroy Sané,Polaco
Bundesliga ,19,1/15/22,Away,Bayern Munich,1. FC Köln,0:4,CF,74',0:4,Left-footed shot,Leroy Sané,Polaco
Bundesliga ,21,2/5/22,Home,Bayern Munich,RB Leipzig,3:2,CF,44',2:1,Header,Kingsley Coman,Polaco
Bundesliga ,22,2/12/22,Away,Bayern Munich,VfL Bochum,4:2,CF,9',0:1,Right-footed shot,Kingsley Coman,Polaco
Bundesliga ,22,2/12/22,Away,Bayern Munich,VfL Bochum,4:2,CF,75',4:2,Right-footed shot,Not Applicable,Polaco
Bundesliga ,23,2/20/22,Home,Bayern Munich,SpVgg Greuther Fürth,4:1,CF,46',1:1,Left-footed shot,Eric Maxim Choupo-Moting,Polaco
Bundesliga ,23,2/20/22,Home,Bayern Munich,SpVgg Greuther Fürth,4:1,CF,82',3:1,Header,Niklas Süle,Polaco
Champions League ,last 16,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,12',1:0,Penalty,Not Applicable,Polaco
Champions League ,last 16,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,21',2:0,Penalty,Not Applicable,Polaco
Champions League ,last 16,3/8/22,Home,Bayern Munich,Red Bull Salzburg,7:1,CF,23',3:0,Right-footed shot,Not Applicable,Polaco
Bundesliga ,26,3/12/22,Away,Bayern Munich,TSG 1899 Hoffenheim,1:1,CF,45'+3,1:1,Header,Joshua Kimmich,Polaco
Bundesliga ,27,3/19/22,Home,Bayern Munich,1.FC Union Berlin,4:0,CF,45'+1,3:0,Penalty,Not Applicable,Polaco
Bundesliga ,27,3/19/22,Home,Bayern Munich,1.FC Union Berlin,4:0,CF,47',4:0,Left-footed shot,Jamal Musiala,Polaco
Bundesliga ,29,4/9/22,Home,Bayern Munich,FC Augsburg,1:0,CF,82',1:0,Penalty,Not Applicable,Polaco
Champions League ,Quarter-Finals,4/12/22,Home,Bayern Munich,Villarreal CF,1:1,CF,52',1:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,31,4/23/22,Home,Bayern Munich,Borussia Dortmund,3:1,CF,34',2:0,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,32,4/30/22,Away,Bayern Munich,1.FSV Mainz 05,3:1,CF,33',2:1,Left-footed shot,Eric Maxim Choupo-Moting,Polaco
Bundesliga ,34,5/14/22,Away,Bayern Munich,VfL Wolfsburg,2:2,CF,40',0:2,Header,Thomas Müller,Polaco
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,1',0:1,Counter attack goal,Alejandro Balde,Polaco
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,68',1:3,Right-footed shot,Ansu Fati,Polaco
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,24',1:0,Left-footed shot,Raphinha,Polaco
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,64',3:0,Not Applicable,Ousmane Dembélé,Polaco
LaLiga ,4,9/3/22,Away,FC Barcelona,Sevilla FC,0:3,CF,36',0:2,Right-footed shot,Jules Koundé,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,34',2:0,Right-footed shot,Sergi Roberto,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,45'+3,3:1,Header,Ousmane Dembélé,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,67',4:1,Right-footed shot,Ferran Torres,Polaco
LaLiga ,5,9/10/22,Away,FC Barcelona,Cádiz CF,0:4,CF,65',0:2,Tap-in,Not Applicable,Polaco
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,34',1:0,Not Applicable,Alejandro Balde,Polaco
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,48',3:0,Not Applicable,Not Applicable,Polaco
LaLiga ,7,10/1/22,Away,FC Barcelona,RCD Mallorca,0:1,CF,20',0:1,Right-footed shot,Ansu Fati,Polaco
Bundesliga ,26,3/12/22,Away,Bayern Munich,TSG 1899 Hoffenheim,1:1,CF,45'+3,1:1,Header,Joshua Kimmich,Polaco
Bundesliga ,27,3/19/22,Home,Bayern Munich,1.FC Union Berlin,4:0,CF,45'+1,3:0,Penalty,Not Applicable,Polaco
Bundesliga ,27,3/19/22,Home,Bayern Munich,1.FC Union Berlin,4:0,CF,47',4:0,Left-footed shot,Jamal Musiala,Polaco
Bundesliga ,29,4/9/22,Home,Bayern Munich,FC Augsburg,1:0,CF,82',1:0,Penalty,Not Applicable,Polaco
Champions League ,Quarter-Finals,4/12/22,Home,Bayern Munich,Villarreal CF,1:1,CF,52',1:0,Right-footed shot,Thomas Müller,Polaco
Bundesliga ,31,4/23/22,Home,Bayern Munich,Borussia Dortmund,3:1,CF,34',2:0,Left-footed shot,Thomas Müller,Polaco
Bundesliga ,32,4/30/22,Away,Bayern Munich,1.FSV Mainz 05,3:1,CF,33',2:1,Left-footed shot,Eric Maxim Choupo-Moting,Polaco
Bundesliga ,34,5/14/22,Away,Bayern Munich,VfL Wolfsburg,2:2,CF,40',0:2,Header,Thomas Müller,Polaco
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,1',0:1,Counter attack goal,Alejandro Balde,Polaco
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,68',1:3,Right-footed shot,Ansu Fati,Polaco
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,24',1:0,Left-footed shot,Raphinha,Polaco
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,64',3:0,Not Applicable,Ousmane Dembélé,Polaco
LaLiga ,4,9/3/22,Away,FC Barcelona,Sevilla FC,0:3,CF,36',0:2,Right-footed shot,Jules Koundé,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,34',2:0,Right-footed shot,Sergi Roberto,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,45'+3,3:1,Header,Ousmane Dembélé,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,67',4:1,Right-footed shot,Ferran Torres,Polaco
LaLiga ,5,9/10/22,Away,FC Barcelona,Cádiz CF,0:4,CF,65',0:2,Tap-in,Not Applicable,Polaco
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,34',1:0,Not Applicable,Alejandro Balde,Polaco
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,48',3:0,Not Applicable,Not Applicable,Polaco
LaLiga ,7,10/1/22,Away,FC Barcelona,RCD Mallorca,0:1,CF,20',0:1,Right-footed shot,Ansu Fati,Polaco
LaLiga ,2,8/21/22,Away,FC Barcelona,Real Sociedad,1:4,CF,68',1:3,Right-footed shot,Ansu Fati,Polaco
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,24',1:0,Left-footed shot,Raphinha,Polaco
LaLiga ,3,8/28/22,Home,FC Barcelona,Real Valladolid CF,4:0,CF,64',3:0,Not Applicable,Ousmane Dembélé,Polaco
LaLiga ,4,9/3/22,Away,FC Barcelona,Sevilla FC,0:3,CF,36',0:2,Right-footed shot,Jules Koundé,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,34',2:0,Right-footed shot,Sergi Roberto,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,45'+3,3:1,Header,Ousmane Dembélé,Polaco
Champions League ,Group Stage,9/7/22,Home,FC Barcelona,FC Viktoria Plzen,5:1,CF,67',4:1,Right-footed shot,Ferran Torres,Polaco
LaLiga ,5,9/10/22,Away,FC Barcelona,Cádiz CF,0:4,CF,65',0:2,Tap-in,Not Applicable,Polaco
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,34',1:0,Not Applicable,Alejandro Balde,Polaco
LaLiga ,6,9/17/22,Home,FC Barcelona,Elche CF,3:0,CF,48',3:0,Not Applicable,Not Applicable,Polaco
LaLiga ,7,10/1/22,Away,FC Barcelona,RCD Mallorca,0:1,CF,20',0:1,Right-footed shot,Ansu Fati,Polaco
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
